"Title","Latitude","Longitude","Elevation"
"s1",40.27781032,-111.7156323,1399.756714
"s1",40.27777177,-111.7156384,1399.688599
"s1",40.27777545,-111.7155709,1399.934937
"s1",40.27778887,-111.7156021,1399.8396
"s1",40.27780229,-111.7156226,1399.77832
"s1",40.27781645,-111.715614,1399.818604
"s1",40.27775216,-111.7155784,0
"s1",40.27777737,-111.7155732,1399.93457
"s1",40.27776945,-111.7155677,1399.925049
"s1",40.27774,-111.7155897,NA
"s1",40.27777703,-111.7156013,NA
"s1",40.27778375,-111.7156075,1399.81543
"s1",40.27778439,-111.7155862,1399.892822
"s1",40.27781914,-111.71561,1399.83313
"s1",40.27780992,-111.7156224,1399.788574
"s1",40.27781148,-111.715447,1400.046753
"s1",40.27781249,-111.7154569,1400.043701
"s1",40.27784242,-111.7154618,1400.077881
"s2",40.27762363,-111.7152783,1399.999512
"s2",40.27763666,-111.7152791,1399.997803
"s2",40.27764912,-111.7152794,1399.997925
"s2",40.27764971,-111.7153407,1399.895264
"s2",40.27768967,-111.7152774,1400.001953
"s2",40.27767972,-111.7152762,1400.00415
"s2",40.27768461,-111.7152868,1399.988892
"s2",40.2777104,-111.7152597,1400.04834
"s2",40.27774224,-111.7152539,1400.074585
"s2",40.27766925,-111.7152777,1399.999634
"s2",40.27766129,-111.7152838,1399.990601
"s2",40.27766831,-111.7152912,1399.981201
"s2",40.27764075,-111.7152879,1399.981934
"s2",40.27750339,-111.7152841,0
"s2",40.27764645,-111.7152524,0
"s2",40.27763439,-111.715322,0
"s2",40.27764313,-111.715256,NA
"s2",40.27768321,-111.7152501,NA
"s2",40.27767705,-111.7152651,NA
"s2",40.27776332,-111.7151975,1400.275269
"s2",40.27766195,-111.7152834,1399.992188
"s2",40.2777071,-111.7152309,1400.125488
"s2",40.2777083,-111.7153192,1399.962769
"s2",40.27766828,-111.7153373,1399.915771
"s2",40.27765409,-111.7153274,1399.921021
"s3",40.27729819,-111.7145151,1400.203491
